
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.200
  alpha =    2.000    CLtot =    0.529
  beta  =    0.000

  Sref  =    55.62000
  Bref  =    21.60000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.367904         0.109458    
    0.0357  0.349610         0.100398    
    0.1071  0.313809         0.836444E-01
    0.1786  0.279417         0.686632E-01
    0.2500  0.246280         0.553873E-01
    0.3214  0.214446         0.437522E-01
    0.3929  0.184002         0.336899E-01
    0.4643  0.155042         0.251277E-01
    0.5357  0.127662         0.179884E-01
    0.6071  0.101955         0.121897E-01
    0.6786  0.780152E-01     0.764475E-02
    0.7500  0.559472E-01     0.426168E-02
    0.8214  0.358858E-01     0.194255E-02
    0.8929  0.180745E-01     0.579847E-03
    0.9643  0.325750E-02     0.411321E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.367904        -0.109458    
   -0.0357  0.349610        -0.100398    
   -0.1071  0.313809        -0.836444E-01
   -0.1786  0.279417        -0.686632E-01
   -0.2500  0.246280        -0.553873E-01
   -0.3214  0.214446        -0.437522E-01
   -0.3929  0.184002        -0.336899E-01
   -0.4643  0.155042        -0.251277E-01
   -0.5357  0.127662        -0.179884E-01
   -0.6071  0.101955        -0.121897E-01
   -0.6786  0.780152E-01    -0.764474E-02
   -0.7500  0.559472E-01    -0.426168E-02
   -0.8214  0.358857E-01    -0.194255E-02
   -0.8929  0.180745E-01    -0.579847E-03
   -0.9643  0.325750E-02    -0.411321E-04
   -1.0000   0.00000          0.00000    
