 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     MainWing                                
     # Chordwise =  8   # Spanwise = 14     First strip =  1
     Surface area =    6.143621       Ave. chord =    0.680600
     CLsurf  =   0.36792     Clsurf  =  -0.07767
     CYsurf  =  -0.01830     Cmsurf  =  -1.68906
     CDsurf  =   0.00318     Cnsurf  =   0.00020
     CDisurf =   0.00318     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.73526     CDsurf  =   0.00635
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.3750   0.9417   0.7064   0.6421   0.0149   0.6821   0.6821   0.0049   0.0000  -0.0689  -0.2394    0.351
     2   1.1250   0.9250   0.6939   0.6485   0.0186   0.7013   0.7013   0.0066   0.0000  -0.0684  -0.2437    0.348
     3   1.8750   0.9083   0.6814   0.6524   0.0233   0.7184   0.7184   0.0087   0.0000  -0.0679  -0.2474    0.344
     4   2.5313   0.8750   0.4925   0.6406   0.0244   0.7325   0.7322   0.0094   0.0000  -0.0677  -0.2506    0.343
     5   3.0938   0.8250   0.4643   0.6160   0.0210   0.7471   0.7468   0.0081   0.0000  -0.0680  -0.2545    0.341
     6   3.6562   0.7750   0.4362   0.5861   0.0184   0.7568   0.7565   0.0072   0.0000  -0.0683  -0.2571    0.340
     7   4.2188   0.7250   0.4080   0.5526   0.0160   0.7628   0.7625   0.0068   0.0000  -0.0686  -0.2589    0.340
     8   4.8750   0.6667   0.5011   0.5134   0.0142   0.7730   0.7704   0.0059   0.0000  -0.0686  -0.2605    0.339
     9   5.6250   0.6000   0.4510   0.4671   0.0128   0.7815   0.7788   0.0048   0.0000  -0.0686  -0.2625    0.338
    10   6.3750   0.5333   0.4009   0.4176   0.0115   0.7860   0.7833   0.0045   0.0000  -0.0687  -0.2638    0.338
    11   7.0313   0.4750   0.2696   0.3690   0.0106   0.7848   0.7772   0.0038   0.0000  -0.0686  -0.2614    0.339
    12   7.5937   0.4250   0.2412   0.3220   0.0111   0.7653   0.7579   0.0031   0.0000  -0.0682  -0.2562    0.341
    13   8.1563   0.3750   0.2128   0.2708   0.0140   0.7295   0.7224   0.0036   0.0000  -0.0677  -0.2468    0.345
    14   8.7188   0.3250   0.1845   0.2056   0.0287   0.6388   0.6326   0.0070   0.0000  -0.0649  -0.2217    0.353

  Surface # 2     MainWing (YDUP)                         
     # Chordwise =  8   # Spanwise = 14     First strip = 15
     Surface area =    6.143621       Ave. chord =    0.680600
     CLsurf  =   0.36792     Clsurf  =   0.07767
     CYsurf  =   0.01830     Cmsurf  =  -1.68906
     CDsurf  =   0.00318     Cnsurf  =  -0.00020
     CDisurf =   0.00318     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.73526     CDsurf  =   0.00635
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    15  -0.3750   0.9417   0.7064   0.6421   0.0149   0.6821   0.6821   0.0049   0.0000  -0.0689   0.2394    0.351
    16  -1.1250   0.9250   0.6939   0.6485   0.0186   0.7013   0.7013   0.0066   0.0000  -0.0684   0.2437    0.348
    17  -1.8750   0.9083   0.6814   0.6524   0.0233   0.7184   0.7184   0.0087   0.0000  -0.0679   0.2474    0.344
    18  -2.5313   0.8750   0.4925   0.6406   0.0244   0.7325   0.7322   0.0094   0.0000  -0.0677   0.2506    0.343
    19  -3.0938   0.8250   0.4643   0.6160   0.0210   0.7471   0.7468   0.0081   0.0000  -0.0680   0.2545    0.341
    20  -3.6562   0.7750   0.4362   0.5861   0.0184   0.7568   0.7565   0.0072   0.0000  -0.0683   0.2571    0.340
    21  -4.2188   0.7250   0.4080   0.5526   0.0160   0.7628   0.7625   0.0068   0.0000  -0.0686   0.2589    0.340
    22  -4.8750   0.6667   0.5011   0.5134   0.0142   0.7730   0.7704   0.0059   0.0000  -0.0686   0.2605    0.339
    23  -5.6250   0.6000   0.4510   0.4671   0.0128   0.7815   0.7788   0.0048   0.0000  -0.0686   0.2625    0.338
    24  -6.3750   0.5333   0.4009   0.4176   0.0115   0.7860   0.7833   0.0045   0.0000  -0.0687   0.2638    0.338
    25  -7.0313   0.4750   0.2696   0.3690   0.0106   0.7848   0.7772   0.0038   0.0000  -0.0686   0.2614    0.339
    26  -7.5937   0.4250   0.2412   0.3220   0.0111   0.7653   0.7579   0.0031   0.0000  -0.0682   0.2562    0.341
    27  -8.1563   0.3750   0.2128   0.2708   0.0140   0.7295   0.7224   0.0036   0.0000  -0.0677   0.2468    0.345
    28  -8.7188   0.3250   0.1845   0.2056   0.0287   0.6388   0.6326   0.0070   0.0000  -0.0649   0.2217    0.353
 ---------------------------------------------------------------
